time,1000000 airbag_sensor,
0,-1061.99,
4.90392e-005,-1104.04,
9.90792e-005,-1138.52,
0.000149119,-1163.94,
0.000199159,-1178.68,
0.000249199,-1181.03,
0.000299239,-1169.24,
0.000349279,-1141.47,
0.000399319,-1095.9,
0.000449359,-1030.67,
0.000499399,-944.003,
0.000549439,-834.189,
0.000599479,-699.491,
0.000649519,-538.092,
0.000699559,-348.168,
0.000749599,-127.819,
0.000799639,125.309,
0.000849679,414.431,
0.000899719,743.739,
0.000949759,1118.03,
0.000999799,1541.57,
0.00104984,2016.5,
0.00109988,2541.6,
0.00114992,3112.68,
0.00119996,3724.81,
0.00125,4374.95,
0.00129904,5062.93,
0.00134908,5790.01,
0.00139912,6556.18,
0.00144916,7358.03,
0.0014992,8188.59,
0.00154924,9039.28,
0.00159928,9902.4,
0.00164932,10772.2,
0.00169936,11644.4,
0.0017494,12515.1,
0.00179944,13380.4,
0.00184948,14234.5,
0.00189952,15068.8,
0.00194956,15872.2,
0.0019996,16632.9,
0.00204964,17338.6,
0.00209968,17976.1,
0.00214972,18530.4,
0.00219976,18984.2,
0.0022498,19317.2,
0.00229984,19508.6,
0.00234988,19541,
0.00239992,19404.7,
0.00244996,19098.2,
0.0025,18625.9,
0.00254904,17994.8,
0.00259908,17210.8,
0.00264912,16277.4,
0.00269916,15199,
0.0027492,13985.2,
0.00279924,12652,
0.00284928,11218,
0.00289932,9699.17,
0.00294936,8104.74,
0.0029994,6436.07,
0.00304944,4690.19,
0.00309948,2865.05,
0.00314952,964.906,
0.00319956,-997.353,
0.0032496,-3003.31,
0.00329964,-5035.04,
0.00334968,-7078.95,
0.00339972,-9125.19,
0.00344976,-11163.4,
0.0034998,-13177.6,
0.00354984,-15143.3,
0.00359988,-17027.8,
0.00364992,-18794.2,
0.00369996,-20406.9,
0.00375,-21840.9,
0.00379904,-23087,
0.00384908,-24148.2,
0.00389912,-25029.7,
0.00394916,-25735.1,
0.0039992,-26268.9,
0.00404924,-26639.1,
0.00409928,-26855.3,
0.00414932,-26923,
0.00419936,-26837.2,
0.0042494,-26583.6,
0.00429944,-26146.5,
0.00434948,-25514.3,
0.00439952,-24681.3,
0.00444956,-23645.2,
0.0044996,-22404.2,
0.00454964,-20956.1,
0.00459968,-19298.2,
0.00464972,-17433.6,
0.00469976,-15381.2,
0.0047498,-13181.2,
0.00479984,-10887.7,
0.00484988,-8554.67,
0.00489992,-6230.65,
0.00494996,-3963.91,
0.004999,-1810.49,
0.00504904,167.341,
0.00509908,1913.7,
0.00514912,3393.71,
0.00519916,4597.11,
0.0052492,5531.12,
0.00529924,6209.83,
0.00534928,6647.4,
0.00539932,6856.29,
0.00544936,6842.48,
0.0054994,6599.49,
0.00554944,6108.61,
0.00559948,5340.17,
0.00564952,4255.68,
0.00569956,2815.6,
0.0057496,990.036,
0.00579964,-1231.77,
0.00584968,-3836.63,
0.00589972,-6785.58,
0.00594976,-10014.2,
0.0059998,-13446.8,
0.00604984,-17019.1,
0.00609988,-20691.9,
0.00614992,-24444.1,
0.00619996,-28248.5,
0.00624899,-32055.7,
0.00629903,-35801.7,
0.00634907,-39427.7,
0.00639911,-42898.6,
0.00644915,-46202.2,
0.00649919,-49329.6,
0.00654923,-52264.2,
0.00659927,-55001.5,
0.00664931,-57592.6,
0.00669935,-60163.9,
0.00674939,-62885.2,
0.00679943,-65901.4,
0.00684947,-69279.6,
0.00689951,-73005.2,
0.00694955,-77010.6,
0.00699959,-81213,
0.00704963,-85514.8,
0.00709967,-89780.3,
0.00714971,-93850.1,
0.00719975,-97585.2,
0.00724979,-100917,
0.00729983,-103843,
0.00734987,-106335,
0.00739991,-108285,
0.00744995,-109512,
0.00749899,-109810,
0.00754903,-108982,
0.00759907,-106838,
0.00764911,-103227,
0.00769915,-98080.6,
0.00774919,-91455.3,
0.00779923,-83540.4,
0.00784927,-74604.2,
