time,1000000 airbag_sensor,
0,-601.849,
4.90392e-005,-623.263,
9.90792e-005,-640.075,
0.000149119,-651.402,
0.000199159,-656.291,
0.000249199,-653.735,
0.000299239,-642.701,
0.000349279,-622.153,
0.000399319,-591.056,
0.000449359,-548.356,
0.000499399,-492.958,
0.000549439,-423.756,
0.000599479,-339.643,
0.000649519,-239.493,
0.000699559,-122.11,
0.000749599,13.8278,
0.000799639,169.806,
0.000849679,347.386,
0.000899719,547.937,
0.000949759,772.466,
0.000999799,1021.77,
0.00104984,1296.62,
0.00109988,1597.93,
0.00114992,1926.87,
0.00119996,2284.95,
0.00125,2673.6,
0.00129904,3093.43,
0.00134908,3543.78,
0.00139912,4023.23,
0.00144916,4530.39,
0.0014992,5064.1,
0.00154924,5623.48,
0.00159928,6208.21,
0.00164932,6818.93,
0.00169936,7457.55,
0.0017494,8126.91,
0.00179944,8830.02,
0.00184948,9569.11,
0.00189952,10345.1,
0.00194956,11157.3,
0.0019996,12002.8,
0.00204964,12875.8,
0.00209968,13766.8,
0.00214972,14664,
0.00219976,15553.5,
0.0022498,16419.4,
0.00229984,17244.1,
0.00234988,18010,
0.00239992,18700.1,
0.00244996,19297.1,
0.0025,19784.5,
0.00254904,20147,
0.00259908,20370.8,
0.00264912,20444.4,
0.00269916,20358.1,
0.0027492,20105.6,
0.00279924,19684,
0.00284928,19093.7,
0.00289932,18336.3,
0.00294936,17411.5,
0.0029994,16316.5,
0.00304944,15047.9,
0.00309948,13604.7,
0.00314952,11990.5,
0.00319956,10212.1,
0.0032496,8278.4,
0.00329964,6202.05,
0.00334968,4000.14,
0.00339972,1692.99,
0.00344976,-697.309,
0.0034998,-3148.57,
0.00354984,-5638.25,
0.00359988,-8140.12,
0.00364992,-10623.1,
0.00369996,-13055.8,
0.00375,-15412.5,
0.00379904,-17674.6,
0.00384908,-19829.7,
0.00389912,-21868.8,
0.00394916,-23783.2,
0.0039992,-25560.5,
0.00404924,-27184.2,
0.00409928,-28637,
0.00414932,-29903.4,
0.00419936,-30964.6,
0.0042494,-31795.4,
0.00429944,-32366.2,
0.00434948,-32648.3,
0.00439952,-32619,
0.00444956,-32267.5,
0.0044996,-31598.5,
0.00454964,-30628.3,
0.00459968,-29381.2,
0.00464972,-27889,
0.00469976,-26196.1,
0.0047498,-24358.4,
0.00479984,-22436.3,
0.00484988,-20484.9,
0.00489992,-18550.7,
0.00494996,-16672.4,
0.004999,-14881.9,
0.00504904,-13199.4,
0.00509908,-11625.8,
0.00514912,-10139,
0.00519916,-8700.19,
0.0052492,-7264.61,
0.00529924,-5788.79,
0.00534928,-4235.31,
0.00539932,-2582.03,
0.00544936,-831.684,
0.0054994,986.644,
0.00554944,2824.19,
0.00559948,4621.69,
0.00564952,6317.5,
0.00569956,7854.51,
0.0057496,9184.97,
0.00579964,10268.3,
0.00584968,11064.5,
0.00589972,11536.3,
0.00594976,11657.6,
0.0059998,11419.9,
0.00604984,10833.1,
0.00609988,9923.97,
0.00614992,8733.38,
0.00619996,7317.28,
0.00624899,5748.85,
0.00629903,4111.3,
0.00634907,2473.44,
0.00639911,869.714,
0.00644915,-698.579,
0.00649919,-2248.05,
0.00654923,-3807.17,
0.00659927,-5436.3,
0.00664931,-7244.09,
0.00669935,-9364.54,
0.00674939,-11901.3,
0.00679943,-14880.5,
0.00684947,-18245,
0.00689951,-21882.5,
0.00694955,-25659.1,
0.00699959,-29434.7,
0.00704963,-33069.5,
0.00709967,-36442.4,
0.00714971,-39480.5,
0.00719975,-42202.1,
0.00724979,-44730.6,
0.00729983,-47236.3,
0.00734987,-49850.8,
0.00739991,-52626.2,
0.00744995,-55567.5,
0.00749899,-58679.8,
0.00754903,-61970,
0.00759907,-65425.5,
0.00764911,-69003.7,
0.00769915,-72679.2,
0.00774919,-76523.7,
0.00779923,-80686.1,
0.00784927,-85276.9,
0.00789931,-90283.2,
0.00794935,-95559.5,
0.00799939,-100898,
0.00804943,-106115,
0.00809947,-111064,
0.00814951,-115603,
0.00819955,-119560,
0.00824959,-122730,
0.00829963,-124951,
0.00834967,-126188,
0.00839971,-126503,
0.00844975,-125968,
0.00849979,-124615,
0.00854983,-122467,
0.00859987,-119615,
0.00864991,-116239,
0.00869995,-112458,
0.00874899,-108202,
0.00879903,-103332,
0.00884907,-97884,
0.00889911,-92164.7,
0.00894915,-86666.5,
0.00899919,-81815.2,
0.00904923,-77780.4,
0.00909927,-74552,
0.00914931,-72200.1,
0.00919935,-71111.5,
0.00924939,-72002.2,
0.00929943,-75693.1,
0.00934947,-82850.1,
0.00939951,-93838.4,
0.00944955,-108755,
0.00949959,-127617,
0.00954963,-150588,
0.00959967,-178043,
0.00964971,-210316,
0.00969975,-247435,
0.00974979,-289115,
0.00979983,-334882,
0.00984987,-384178,
0.00989991,-436399,
0.00994995,-490843,
0.00999899,-546625,
0.010049,-602655,
0.0100991,-657771,
0.0101491,-710978,
0.0101992,-761523,
0.0102492,-808715,
0.0102992,-851712,
0.0103493,-889567,
0.0103993,-921496,
0.0104494,-947178,
0.0104994,-966814,
0.0105494,-980844,
0.0105995,-989678,
0.0106495,-993723,
0.0106996,-993599,
0.0107496,-990222,
0.0107996,-984557,
0.0108497,-977216,
0.0108997,-968294,
0.0109498,-957544,
0.0109998,-944607,
0.0110498,-929164,
0.0110999,-910976,
0.0111499,-889879,
0.0112,-865826,
0.011249,-838862,
0.011299,-809131,
0.0113491,-777019,
0.0113991,-743195,
0.0114492,-708303,
0.0114992,-672701,
0.0115492,-636564,
0.0115993,-600156,
0.0116493,-563867,
0.0116994,-527955,
0.0117494,-492330,
0.0117994,-456572,
0.0118495,-420049,
0.0118995,-382072,
0.0119496,-342081,
0.0119996,-299803,
0.0120496,-255286,
0.0120997,-208812,
0.0121497,-160809,
0.0121998,-111765,
0.0122498,-62186.5,
0.0122998,-12651.3,
0.0123499,36157.1,
0.0123999,83491.7,
0.01245,128706,
0.012499,171366,
0.012549,211164,
0.0125991,247844,
0.0126491,281233,
0.0126991,311235,
0.0127492,337788,
0.0127992,360840,
0.0128493,380289,
0.0128993,396024,
0.0129494,408042,
0.0129994,416487,
0.0130494,421609,
0.0130995,423596,
0.0131495,422349,
0.0131996,417519,
0.0132496,408758,
0.0132996,395896,
0.0133497,378999,
0.0133997,358268,
0.0134497,333825,
0.0134998,305779,
0.0135498,274561,
0.0135999,241139,
0.0136499,206870,
0.0136999,173115,
0.013749,140839,
0.013799,110461,
0.0138491,82032.5,
0.0138991,55508.2,
0.0139491,30852.8,
0.0139992,8007.44,
0.0140492,-13050.8,
0.0140993,-32077.3,
0.0141493,-48489.5,
0.0141993,-61672.5,
0.0142494,-71227.5,
0.0142994,-77011.2,
0.0143495,-79203.4,
0.0143995,-78246.9,
0.0144495,-74605.1,
0.0144996,-68631,
0.0145496,-60571,
0.0145997,-50514.3,
0.0146497,-38422,
0.0146997,-24303.4,
0.0147498,-8369.97,
0.0147998,8880.99,
0.0148499,26809,
0.0148999,44897.7,
0.0149499,62673.2,
0.014999,79480.6,
0.015049,94564.1,
0.0150991,107278,
0.0151491,117165,
0.0151991,123890,
0.0152492,127259,
0.0152992,127252,
0.0153493,123813,
0.0153993,116735,
0.0154493,105915,
0.0154994,91493.6,
0.0155494,73569.9,
0.0155995,51969,
0.0156495,26497.1,
0.0156995,-2819.65,
0.0157496,-35842.3,
0.0157996,-72326.8,
0.0158497,-111818,
0.0158997,-153761,
0.0159497,-197644,
0.0159998,-243033,
0.0160498,-289627,
0.0160999,-337217,
0.0161499,-385502,
0.0161999,-433932,
0.016249,-481705,
0.016299,-527885,
0.0163491,-571569,
0.0163991,-611892,
0.0164491,-647967,
0.0164992,-678883,
0.0165492,-703675,
0.0165993,-721319,
0.0166493,-730890,
0.0166993,-731741,
0.0167494,-723383,
0.0167994,-705114,
0.0168495,-676077,
0.0168995,-635932,
0.0169495,-585261,
0.0169996,-525076,
0.0170496,-456244,
0.0170997,-379690,
0.0171497,-296892,
0.0171997,-209875,
0.0172498,-120865,
0.0172998,-31945.1,
0.0173499,55232.1,
0.0173999,139599,
0.0174499,220537,
0.0175,297574,
0.017549,370277,
0.0175991,438376,
0.0176491,501826,
0.0176991,560767,
0.0177492,615366,
0.0177992,665457,
0.0178493,710256,
0.0178993,748512,
0.0179493,779072,
0.0179994,801158,
0.0180494,814012,
0.0180995,816537,
0.0181495,807545,
0.0181995,786121,
0.0182496,751582,
0.0182996,703581,
0.0183497,642636,
0.0183997,570222,
0.0184497,488197,
0.0184998,398407,
0.0185498,302875,
0.0185999,204011,
0.0186499,104377,
0.0186999,6198.1,
0.01875,-88808.8,
0.0188,-179276,
0.0188491,-264011,
0.0188991,-341949,
0.0189491,-412224,
0.0189992,-474292,
0.0190492,-527775,
0.0190993,-572212,
0.0191493,-607138,
0.0191993,-632048,
0.0192494,-645978,
0.0192994,-647474,
0.0193495,-635362,
0.0193995,-609549,
0.0194495,-570904,
0.0194996,-520619,
0.0195496,-460022,
0.0195997,-391007,
0.0196497,-316371,
0.0196997,-239551,
0.0197498,-164014,
0.0197998,-92831.9,
0.0198499,-28596.9,
0.0198999,26537.6,
0.0199499,70850.6,
0.02,103121,
0.02005,122678,
0.0200991,129411,
0.0201491,123867,
0.0201991,107321,
0.0202492,81654.9,
0.0202992,49007.2,
0.0203493,11438.1,
0.0203993,-29078.4,
0.0204493,-70470.2,
0.0204994,-110745,
0.0205494,-148449,
0.0205995,-182702,
0.0206495,-212835,
0.0206995,-238312,
0.0207496,-258836,
0.0207996,-274187,
0.0208497,-284036,
0.0208997,-288111,
0.0209497,-286449,
0.0209998,-279314,
0.0210498,-266991,
0.0210999,-249883,
0.0211499,-228791,
0.0211999,-205092,
0.02125,-180508,
0.0213,-156524,
0.0213501,-134093,
0.0213991,-113843,
0.0214491,-96239.7,
0.0214992,-81535,
0.0215492,-69958.5,
0.0215993,-61953.2,
0.0216493,-57747.7,
0.0216993,-56720.4,
0.0217494,-57452.6,
0.0217994,-58349.4,
0.0218495,-58209.4,
0.0218995,-56467.3,
0.0219495,-53028.4,
0.0219996,-47854.6,
0.0220496,-40980,
0.0220997,-32999.8,
0.0221497,-25149.7,
0.0221997,-18776.8,
0.0222498,-14798.5,
0.0222998,-13498.9,
0.0223499,-14560.1,
0.0223999,-17190.8,
0.0224499,-20510,
0.0225,-24067.7,
0.02255,-27916.6,
0.0226001,-32122.5,
0.0226491,-36442.3,
0.0226991,-40612.9,
0.0227492,-44700.8,
0.0227992,-49151.5,
0.0228493,-54792,
0.0228993,-62698.3,
0.0229493,-73788.9,
0.0229994,-88474.9,
0.0230494,-106734,
0.0230995,-128356,
0.0231495,-152831,
0.0231995,-179155,
0.0232496,-206049,
0.0232996,-232265,
0.0233497,-256575,
0.0233997,-277921,
0.0234497,-295961,
0.0234998,-311315,
0.0235498,-325120,
