time,1000000 airbag_sensor,
0,-468.433,
4.90392e-005,-341.303,
9.90792e-005,-192.083,
0.000149119,-19.4947,
0.000199159,177.627,
0.000249199,400.315,
0.000299239,649.447,
0.000349279,925.704,
0.000399319,1229.52,
0.000449359,1561.03,
0.000499399,1920.06,
0.000549439,2306.11,
0.000599479,2718.25,
0.000649519,3155.07,
0.000699559,3614.42,
0.000749599,4093.15,
0.000799639,4586.84,
0.000849679,5089.88,
0.000899719,5595.92,
0.000949759,6098.77,
0.000999799,6593.29,
0.00104984,7075.85,
0.00109988,7544.86,
0.00114992,8001.05,
0.00119996,8447.28,
0.00125,8887.62,
0.00129904,9325.77,
0.00134908,9763.65,
0.00139912,10200.8,
0.00144916,10635,
0.0014992,11063,
0.00154924,11482.5,
0.00159928,11892.7,
0.00164932,12294.8,
0.00169936,12690.9,
0.0017494,13083.4,
0.00179944,13472.7,
0.00184948,13855.8,
0.00189952,14226.4,
0.00194956,14574.9,
0.0019996,14890.1,
0.00204964,15160.6,
0.00209968,15375.8,
0.00214972,15525.6,
0.00219976,15599.5,
0.0022498,15585,
0.00229984,15467.7,
0.00234988,15233.2,
0.00239992,14868.4,
0.00244996,14362.3,
0.0025,13706.2,
0.00254904,12893,
0.00259908,11915.4,
0.00264912,10766.4,
0.00269916,9441.59,
0.0027492,7944.47,
0.00279924,6289.32,
0.00284928,4498.87,
0.00289932,2597.1,
0.00294936,602.748,
0.0029994,-1474.87,
0.00304944,-3636.04,
0.00309948,-5883.65,
0.00314952,-8213.01,
0.00319956,-10607.4,
0.0032496,-13041.1,
0.00329964,-15487.2,
0.00334968,-17925.5,
0.00339972,-20346.5,
0.00344976,-22747.1,
0.0034998,-25121.8,
0.00354984,-27453.7,
0.00359988,-29711.2,
0.00364992,-31851.6,
0.00369996,-33832.9,
0.00375,-35625.4,
0.00379904,-37213.6,
0.00384908,-38586.5,
0.00389912,-39729.7,
0.00394916,-40628.7,
0.0039992,-41272.4,
0.00404924,-41650.9,
0.00409928,-41754.2,
0.00414932,-41575.1,
0.00419936,-41110.1,
0.0042494,-40357.6,
0.00429944,-39314.7,
0.00434948,-37971.1,
0.00439952,-36309.5,
0.00444956,-34313.7,
0.0044996,-31976.5,
0.00454964,-29297.7,
0.00459968,-26276.5,
0.00464972,-22913.3,
0.00469976,-19218.4,
0.0047498,-15220.3,
0.00479984,-10967.5,
0.00484988,-6526.53,
0.00489992,-1978.87,
0.00494996,2585.95,
0.004999,7083.36,
0.00504904,11440.5,
0.00509908,15593.3,
0.00514912,19481.4,
0.00519916,23044.8,
0.0052492,26223.7,
0.00529924,28963.4,
0.00534928,31220.4,
0.00539932,32965.7,
0.00544936,34179.6,
0.0054994,34841.9,
0.00554944,34923.3,
0.00559948,34382.1,
0.00564952,33173.8,
